Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:12:27
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:12:27
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:12:27
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:12:57
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:12:57
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:13:27
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:13:27
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:13:27
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:13:27
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:13:27
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:13:27
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:13:28
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:13:28
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:13:28
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:13:28
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:13:28
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:13:57
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:13:57
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:13:57
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:13:57
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:13:57
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:13:57
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:13:58
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:13:58
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:13:58
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:13:58
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:13:58
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:14:27
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:14:27
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:14:27
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:14:27
Loading class name:BtcRelax\CustomerDao   |  Date:  11.05.2016 07:14:27
Loading class name:BtcRelax\BaseDao   |  Date:  11.05.2016 07:14:27
Loading class name:BtcRelax\Model\Customer   |  Date:  11.05.2016 07:14:28
Loading class name:BtcRelax\Mapping\CustomerMapper   |  Date:  11.05.2016 07:14:28
Loading class name:BtcRelax\OM   |  Date:  11.05.2016 07:14:28
Loading class name:BtcRelax\SecureSession   |  Date:  11.05.2016 07:14:28
Loading class name:BtcRelax\DAO   |  Date:  11.05.2016 07:14:28
Start to initialize core version:1.2.2.0   |  Date:  11.05.2016 07:14:57
Loading class name:BtcRelax\RE   |  Date:  11.05.2016 07:14:57
Loading class name:BtcRelax\AM   |  Date:  11.05.2016 07:14:57
Loading class name:BtcRelax\User   |  Date:  11.05.2016 07:14:57
